request_id,user_id,request_date,request_type,requested_amount,desired_completion_date,allows_partial_payment,request_text
request_40,user_40,2024-06-06,education,1290.3,2024-08-15,false,Can I pay for this professional course before enrolment closes? The amount is EUR 1290.30 for the professional course.
request_41,user_41,2025-11-03,emergency_expense,38760000,2026-01-15,false,My repair is urgent. How much can I safely pay today? The amount is IDR 38760000 for the urgent repair.
request_42,user_42,2026-01-05,emergency_expense,52100,2026-03-15,false,My repair is urgent. How much can I safely pay today? The amount is INR 52100 for the urgent repair.
request_43,user_43,2024-09-07,purchase,43339000,2024-11-15,false,Can I buy this laptop without putting next month's bills at risk? The amount is IDR 43339000 for the laptop.
request_44,user_44,2025-02-04,education,95800,2025-04-15,false,Can I pay for this professional course before enrolment closes? The amount is INR 95800 for the professional course.
request_45,user_45,2026-07-06,purchase,21983000,2026-09-15,false,Can I buy this laptop without putting next month's bills at risk? The amount is IDR 21983000 for the laptop.
request_46,user_46,2024-12-03,debt_repayment,286700,2025-01-09,true,Can I make this extra loan payment this month? The amount is INR 286700 for the extra loan payment.
request_47,user_47,2025-05-05,emergency_expense,38114000,2025-06-19,false,My repair is urgent. How much can I safely pay today? The amount is IDR 38114000 for the urgent repair.
request_48,user_48,2026-07-25,family_transfer,45700,2026-08-24,false,How much of this family transfer can I safely make? The amount is INR 45700 for the family transfer.
request_49,user_49,2024-03-04,travel,34333000,2024-05-22,false,"Can I book this family trip now, or should I wait? The amount is IDR 34333000 for the family trip."
request_50,user_50,2025-08-06,travel,43900,2025-08-21,false,"Can I book this family trip now, or should I wait? The amount is INR 43900 for the family trip."
request_51,user_51,2026-01-03,investment,8873000,2026-02-28,true,How much can I invest without affecting my essential payments? The amount is IDR 8873000 for the investment contribution.
request_52,user_52,2024-06-05,emergency_expense,164800,2024-07-09,true,My repair is urgent. How much can I safely pay today? The amount is INR 164800 for the urgent repair.
request_53,user_53,2025-11-07,purchase,1699.2,2026-01-20,false,Can I buy this laptop without putting next month's bills at risk? The amount is USD 1699.20 for the laptop.
request_54,user_54,2026-07-04,housing,121528,2026-08-21,false,Can I pay this rental deposit by the requested date? The amount is ZAR 121528 for the rental deposit.
request_55,user_55,2026-06-08,family_transfer,218600,2026-08-22,false,How much of this family transfer can I safely make? The amount is INR 218600 for the family transfer.
request_56,user_56,2025-02-03,purchase,6092.4,2025-03-13,true,Can I buy this laptop without putting next month's bills at risk? The amount is USD 6092.40 for the laptop.
request_57,user_57,2026-04-05,education,61446,2026-06-15,false,Can I pay for this professional course before enrolment closes? The amount is ZAR 61446 for the professional course.
request_58,user_58,2024-12-07,debt_repayment,16226000,2025-01-25,false,Can I make this extra loan payment this month? The amount is IDR 16226000 for the extra loan payment.
request_59,user_59,2025-05-04,investment,140600,2025-07-02,false,How much can I invest without affecting my essential payments? The amount is INR 140600 for the investment contribution.
request_60,user_60,2026-01-06,housing,955.2,2026-03-04,true,Can I pay this rental deposit by the requested date? The amount is USD 955.20 for the rental deposit.
request_61,user_61,2024-03-03,purchase,29062,2024-05-24,false,Can I buy this laptop without putting next month's bills at risk? The amount is ZAR 29062 for the laptop.
request_62,user_62,2025-08-05,debt_repayment,1731.6,2025-10-09,true,Can I make this extra loan payment this month? The amount is USD 1731.60 for the extra loan payment.
request_63,user_63,2026-07-07,purchase,343900,2026-09-17,true,Can I buy this laptop without putting next month's bills at risk? The amount is INR 343900 for the laptop.
request_64,user_64,2024-06-04,other,63700,2024-08-16,false,Can I commit to this annual membership now? The amount is INR 63700 for the annual membership.
request_65,user_65,2025-11-06,other,54340,2025-11-25,true,Can I commit to this annual membership now? The amount is ZAR 54340 for the annual membership.
request_66,user_66,2026-04-03,emergency_expense,95100,2026-04-17,true,My repair is urgent. How much can I safely pay today? The amount is INR 95100 for the urgent repair.
request_67,user_67,2024-09-05,emergency_expense,2094,2024-11-15,false,My repair is urgent. How much can I safely pay today? The amount is USD 2094 for the urgent repair.
request_68,user_68,2025-02-07,debt_repayment,2091.6,2025-04-16,false,Can I make this extra loan payment this month? The amount is USD 2091.60 for the extra loan payment.
request_69,user_69,2026-01-04,investment,529.1,2026-03-20,false,How much can I invest without affecting my essential payments? The amount is EUR 529.10 for the investment contribution.
request_70,user_70,2024-12-06,other,243900,2025-02-15,false,Can I commit to this annual membership now? The amount is INR 243900 for the annual membership.
request_71,user_71,2025-05-03,housing,21451000,2025-05-28,false,Can I pay this rental deposit by the requested date? The amount is IDR 21451000 for the rental deposit.
request_72,user_72,2026-07-05,family_transfer,11330,2026-07-30,false,How much of this family transfer can I safely make? The amount is ZAR 11330 for the family transfer.
request_73,user_73,2023-01-20,emergency_expense,71400,2023-02-13,false,My repair is urgent. How much can I safely pay today? The amount is INR 71400 for the urgent repair.
request_74,user_74,2025-08-04,debt_repayment,21472,2025-10-21,true,Can I make this extra loan payment this month? The amount is ZAR 21472 for the extra loan payment.
request_75,user_75,2026-04-06,emergency_expense,28270,2026-06-12,false,My repair is urgent. How much can I safely pay today? The amount is ZAR 28270 for the urgent repair.
request_76,user_76,2024-06-03,other,4455.6,2024-07-30,false,Can I commit to this annual membership now? The amount is USD 4455.60 for the annual membership.
request_77,user_77,2025-11-05,housing,60700,2025-12-18,false,Can I pay this rental deposit by the requested date? The amount is INR 60700 for the rental deposit.
request_78,user_78,2025-10-02,purchase,50200,2025-11-15,false,Can I buy this laptop without putting next month's bills at risk? The amount is INR 50200 for the laptop.
request_79,user_79,2024-09-04,purchase,2151.6,2024-11-01,true,Can I buy this laptop without putting next month's bills at risk? The amount is EUR 2151.60 for the laptop.
request_80,user_80,2025-02-06,debt_repayment,217500,2025-02-21,false,Can I make this extra loan payment this month? The amount is INR 217500 for the extra loan payment.
request_81,user_81,2026-07-03,travel,2076,2026-09-15,false,"Can I book this family trip now, or should I wait? The amount is USD 2076 for the family trip."
request_82,user_82,2024-12-05,family_transfer,1405.2,2025-02-15,false,How much of this family transfer can I safely make? The amount is USD 1405.20 for the family transfer.
request_83,user_83,2025-05-07,family_transfer,156200,2025-06-17,false,How much of this family transfer can I safely make? The amount is INR 156200 for the family transfer.
request_84,user_84,2026-04-04,education,95400,2026-06-15,false,Can I pay for this professional course before enrolment closes? The amount is INR 95400 for the professional course.
request_85,user_85,2024-03-06,housing,19304000,2024-04-26,false,Can I pay this rental deposit by the requested date? The amount is IDR 19304000 for the rental deposit.
request_86,user_86,2025-08-03,travel,46300,2025-09-12,false,"Can I book this family trip now, or should I wait? The amount is INR 46300 for the family trip."
request_87,user_87,2026-01-05,other,487900,2026-03-15,false,Can I commit to this annual membership now? The amount is INR 487900 for the annual membership.
request_88,user_88,2024-06-07,housing,26092,2024-08-25,false,Can I pay this rental deposit by the requested date? The amount is ZAR 26092 for the rental deposit.
request_89,user_89,2025-11-04,other,13756000,2026-01-15,false,Can I commit to this annual membership now? The amount is IDR 13756000 for the annual membership.
request_90,user_90,2026-07-06,debt_repayment,11000,2026-09-23,true,Can I make this extra loan payment this month? The amount is ZAR 11000 for the extra loan payment.
request_91,user_91,2024-09-03,emergency_expense,1927.2,2024-11-15,false,My repair is urgent. How much can I safely pay today? The amount is EUR 1927.20 for the urgent repair.
request_92,user_92,2025-02-05,education,34034,2025-03-02,false,Can I pay for this professional course before enrolment closes? The amount is ZAR 34034 for the professional course.
request_93,user_93,2026-04-07,travel,1729.2,2026-04-22,false,"Can I book this family trip now, or should I wait? The amount is USD 1729.20 for the family trip."
request_94,user_94,2024-12-04,housing,572,2024-12-22,false,Can I pay this rental deposit by the requested date? The amount is EUR 572 for the rental deposit.
request_95,user_95,2025-05-06,education,553000,2025-07-14,false,Can I pay for this professional course before enrolment closes? The amount is INR 553000 for the professional course.
request_96,user_96,2026-01-03,purchase,90200,2026-03-12,false,Can I buy this laptop without putting next month's bills at risk? The amount is INR 90200 for the laptop.
request_97,user_97,2024-03-05,housing,23496,2024-05-24,false,Can I pay this rental deposit by the requested date? The amount is ZAR 23496 for the rental deposit.
request_98,user_98,2025-08-07,travel,27148,2025-10-15,false,"Can I book this family trip now, or should I wait? The amount is ZAR 27148 for the family trip."
request_99,user_99,2026-07-04,emergency_expense,18062,2026-09-18,false,My repair is urgent. How much can I safely pay today? The amount is ZAR 18062 for the urgent repair.
request_100,user_100,2024-06-06,purchase,37114,2024-08-16,false,Can I buy this laptop without putting next month's bills at risk? The amount is ZAR 37114 for the laptop.
request_101,user_101,2025-11-03,investment,143500,2025-11-25,false,How much can I invest without affecting my essential payments? The amount is INR 143500 for the investment contribution.
request_102,user_102,2026-04-05,purchase,1716,2026-06-12,false,Can I buy this laptop without putting next month's bills at risk? The amount is EUR 1716 for the laptop.
request_103,user_103,2024-09-07,travel,368300,2024-10-07,false,"Can I book this family trip now, or should I wait? The amount is INR 368300 for the family trip."
request_104,user_104,2025-02-04,purchase,17204,2025-04-15,false,Can I buy this laptop without putting next month's bills at risk? The amount is ZAR 17204 for the laptop.
request_105,user_105,2026-06-08,debt_repayment,53500,2026-08-27,false,Can I make this extra loan payment this month? The amount is INR 53500 for the extra loan payment.
request_106,user_106,2024-12-03,education,2207.7,2025-02-15,false,Can I pay for this professional course before enrolment closes? The amount is EUR 2207.70 for the professional course.
request_107,user_107,2025-05-05,housing,2534.4,2025-07-04,false,Can I pay this rental deposit by the requested date? The amount is EUR 2534.40 for the rental deposit.
request_108,user_108,2026-07-07,education,55308,2026-07-26,false,Can I pay for this professional course before enrolment closes? The amount is ZAR 55308 for the professional course.
request_109,user_109,2024-03-04,family_transfer,1863.4,2024-05-26,false,How much of this family transfer can I safely make? The amount is EUR 1863.40 for the family transfer.
request_110,user_110,2025-08-06,family_transfer,22352,2025-10-11,false,How much of this family transfer can I safely make? The amount is ZAR 22352 for the family transfer.
request_111,user_111,2026-04-03,debt_repayment,16625000,2026-05-02,false,Can I make this extra loan payment this month? The amount is IDR 16625000 for the extra loan payment.
request_112,user_112,2024-06-05,family_transfer,271.7,2024-08-11,false,How much of this family transfer can I safely make? The amount is EUR 271.70 for the family transfer.
request_113,user_113,2026-09-04,debt_repayment,185300,2026-10-19,true,Can I make this extra loan payment this month? The amount is INR 185300 for the extra loan payment.
request_114,user_114,2026-01-04,other,65300,2026-02-03,false,Can I commit to this annual membership now? The amount is INR 65300 for the annual membership.
request_115,user_115,2024-09-06,other,80500,2024-11-15,false,Can I commit to this annual membership now? The amount is INR 80500 for the annual membership.
request_116,user_116,2025-02-03,family_transfer,241200,2025-04-16,false,How much of this family transfer can I safely make? The amount is INR 241200 for the family transfer.
request_117,user_117,2026-07-05,housing,880,2026-09-16,false,Can I pay this rental deposit by the requested date? The amount is EUR 880 for the rental deposit.
request_118,user_118,2024-12-07,housing,738.1,2025-02-08,false,Can I pay this rental deposit by the requested date? The amount is EUR 738.10 for the rental deposit.
request_119,user_119,2025-05-04,education,203500,2025-07-17,false,Can I pay for this professional course before enrolment closes? The amount is INR 203500 for the professional course.
request_120,user_120,2026-04-06,investment,7714000,2026-05-23,false,How much can I invest without affecting my essential payments? The amount is IDR 7714000 for the investment contribution.
request_121,user_121,2024-03-03,debt_repayment,633.6,2024-04-25,false,Can I make this extra loan payment this month? The amount is USD 633.60 for the extra loan payment.
request_122,user_122,2025-08-05,other,20558000,2025-10-02,false,Can I commit to this annual membership now? The amount is IDR 20558000 for the annual membership.
request_123,user_123,2026-01-07,investment,16511000,2026-03-28,true,How much can I invest without affecting my essential payments? The amount is IDR 16511000 for the investment contribution.
request_124,user_124,2024-06-04,other,3104.2,2024-08-20,false,Can I commit to this annual membership now? The amount is EUR 3104.20 for the annual membership.
request_125,user_125,2025-11-06,travel,6468,2026-01-10,false,"Can I book this family trip now, or should I wait? The amount is ZAR 6468 for the family trip."
request_126,user_126,2026-07-03,emergency_expense,159600,2026-07-17,false,My repair is urgent. How much can I safely pay today? The amount is INR 159600 for the urgent repair.
request_127,user_127,2024-09-05,family_transfer,95150,2024-10-18,true,How much of this family transfer can I safely make? The amount is ZAR 95150 for the family transfer.
request_128,user_128,2025-02-07,education,25168,2025-04-14,false,Can I pay for this professional course before enrolment closes? The amount is ZAR 25168 for the professional course.
request_129,user_129,2026-04-04,education,2668.8,2026-06-18,false,Can I pay for this professional course before enrolment closes? The amount is USD 2668.80 for the professional course.
request_130,user_130,2024-12-06,family_transfer,1978.8,2025-02-15,false,How much of this family transfer can I safely make? The amount is USD 1978.80 for the family transfer.
request_131,user_131,2025-05-03,education,1855.2,2025-07-08,true,Can I pay for this professional course before enrolment closes? The amount is USD 1855.20 for the professional course.
request_132,user_132,2026-01-05,family_transfer,2046,2026-02-25,true,How much of this family transfer can I safely make? The amount is USD 2046 for the family transfer.
request_133,user_133,2024-03-07,purchase,15770000,2024-03-29,false,Can I buy this laptop without putting next month's bills at risk? The amount is IDR 15770000 for the laptop.
request_134,user_134,2025-08-04,purchase,21831000,2025-10-15,false,Can I buy this laptop without putting next month's bills at risk? The amount is IDR 21831000 for the laptop.
request_135,user_135,2026-07-06,housing,304.8,2026-08-21,true,Can I pay this rental deposit by the requested date? The amount is USD 304.80 for the rental deposit.
request_136,user_136,2024-06-03,education,560.4,2024-07-14,true,Can I pay for this professional course before enrolment closes? The amount is USD 560.40 for the professional course.
request_137,user_137,2025-11-05,purchase,80100,2026-01-15,false,Can I buy this laptop without putting next month's bills at risk? The amount is INR 80100 for the laptop.
request_138,user_138,2026-04-07,purchase,6671.5,2026-06-05,true,Can I buy this laptop without putting next month's bills at risk? The amount is EUR 6671.50 for the laptop.
request_139,user_139,2024-09-04,housing,2316,2024-11-17,false,Can I pay this rental deposit by the requested date? The amount is USD 2316 for the rental deposit.
request_140,user_140,2025-02-06,emergency_expense,62832,2025-03-04,false,My repair is urgent. How much can I safely pay today? The amount is ZAR 62832 for the urgent repair.
request_141,user_141,2026-01-03,other,171600,2026-02-12,true,Can I commit to this annual membership now? The amount is INR 171600 for the annual membership.
request_142,user_142,2024-12-05,investment,1263.6,2025-02-04,true,How much can I invest without affecting my essential payments? The amount is USD 1263.60 for the investment contribution.
request_143,user_143,2025-05-07,emergency_expense,12584,2025-07-15,false,My repair is urgent. How much can I safely pay today? The amount is ZAR 12584 for the urgent repair.
request_144,user_144,2026-07-04,investment,1491.6,2026-07-26,true,How much can I invest without affecting my essential payments? The amount is USD 1491.60 for the investment contribution.
request_145,user_145,2024-03-06,travel,217400,2024-05-26,true,"Can I book this family trip now, or should I wait? The amount is INR 217400 for the family trip."
request_146,user_146,2025-08-03,housing,449400,2025-10-17,true,Can I pay this rental deposit by the requested date? The amount is INR 449400 for the rental deposit.
request_147,user_147,2026-04-05,travel,1129.7,2026-06-07,true,"Can I book this family trip now, or should I wait? The amount is EUR 1129.70 for the family trip."
request_148,user_148,2024-06-07,purchase,22242,2024-08-18,true,Can I buy this laptop without putting next month's bills at risk? The amount is ZAR 22242 for the laptop.
request_149,user_149,2025-11-04,travel,36652,2026-01-19,false,"Can I book this family trip now, or should I wait? The amount is ZAR 36652 for the family trip."
request_150,user_150,2026-01-06,education,496.1,2026-03-16,false,Can I pay for this professional course before enrolment closes? The amount is EUR 496.10 for the professional course.
request_151,user_151,2024-09-03,housing,26999000,2024-11-22,false,Can I pay this rental deposit by the requested date? The amount is IDR 26999000 for the rental deposit.
request_152,user_152,2025-02-05,emergency_expense,13882,2025-04-13,false,My repair is urgent. How much can I safely pay today? The amount is ZAR 13882 for the urgent repair.
request_153,user_153,2026-07-07,purchase,2830.8,2026-09-24,false,Can I buy this laptop without putting next month's bills at risk? The amount is USD 2830.80 for the laptop.
request_154,user_154,2024-12-04,travel,1625.8,2025-02-14,false,"Can I book this family trip now, or should I wait? The amount is EUR 1625.80 for the family trip."
request_155,user_155,2025-05-06,purchase,112500,2025-05-20,false,Can I buy this laptop without putting next month's bills at risk? The amount is INR 112500 for the laptop.
request_156,user_156,2026-04-03,education,43076,2026-06-15,false,Can I pay for this professional course before enrolment closes? The amount is ZAR 43076 for the professional course.
request_157,user_157,2024-03-05,investment,23503000,2024-05-15,true,How much can I invest without affecting my essential payments? The amount is IDR 23503000 for the investment contribution.
request_158,user_158,2025-08-07,emergency_expense,242600,2025-10-02,false,My repair is urgent. How much can I safely pay today? The amount is INR 242600 for the urgent repair.
request_159,user_159,2026-01-04,investment,13398,2026-03-20,true,How much can I invest without affecting my essential payments? The amount is ZAR 13398 for the investment contribution.
request_160,user_160,2024-06-06,travel,1246.3,2024-08-20,true,"Can I book this family trip now, or should I wait? The amount is EUR 1246.30 for the family trip."
request_161,user_161,2025-11-03,debt_repayment,21204000,2026-01-15,false,Can I make this extra loan payment this month? The amount is IDR 21204000 for the extra loan payment.
request_162,user_162,2026-07-05,other,83923000,2026-08-26,false,Can I commit to this annual membership now? The amount is IDR 83923000 for the annual membership.
request_163,user_163,2024-09-07,other,19304000,2024-11-15,false,Can I commit to this annual membership now? The amount is IDR 19304000 for the annual membership.
request_164,user_164,2025-02-04,other,27018000,2025-04-15,false,Can I commit to this annual membership now? The amount is IDR 27018000 for the annual membership.
request_165,user_165,2026-04-06,travel,80600,2026-04-21,true,"Can I book this family trip now, or should I wait? The amount is INR 80600 for the family trip."
request_166,user_166,2024-12-03,other,2907.6,2025-02-05,false,Can I commit to this annual membership now? The amount is USD 2907.60 for the annual membership.
request_167,user_167,2025-05-05,housing,43802,2025-05-31,false,Can I pay this rental deposit by the requested date? The amount is ZAR 43802 for the rental deposit.
request_168,user_168,2026-01-07,housing,236500,2026-03-16,true,Can I pay this rental deposit by the requested date? The amount is INR 236500 for the rental deposit.
request_169,user_169,2024-03-04,education,41976,2024-05-16,false,Can I pay for this professional course before enrolment closes? The amount is ZAR 41976 for the professional course.
request_170,user_170,2025-08-06,other,36936000,2025-10-04,false,Can I commit to this annual membership now? The amount is IDR 36936000 for the annual membership.
request_171,user_171,2026-07-03,investment,1878.8,2026-09-10,false,How much can I invest without affecting my essential payments? The amount is EUR 1878.80 for the investment contribution.
request_172,user_172,2024-06-05,education,65582,2024-07-02,true,Can I pay for this professional course before enrolment closes? The amount is ZAR 65582 for the professional course.
request_173,user_173,2025-11-07,family_transfer,113000,2026-01-17,true,How much of this family transfer can I safely make? The amount is INR 113000 for the family transfer.
request_174,user_174,2026-04-04,investment,1146.2,2026-06-07,false,How much can I invest without affecting my essential payments? The amount is EUR 1146.20 for the investment contribution.
request_175,user_175,2024-09-06,emergency_expense,2346.3,2024-10-01,false,My repair is urgent. How much can I safely pay today? The amount is EUR 2346.30 for the urgent repair.
request_176,user_176,2025-02-03,travel,1239.7,2025-02-27,false,"Can I book this family trip now, or should I wait? The amount is EUR 1239.70 for the family trip."
request_177,user_177,2026-01-05,emergency_expense,1017.6,2026-01-25,false,My repair is urgent. How much can I safely pay today? The amount is USD 1017.60 for the urgent repair.
request_178,user_178,2024-12-07,investment,2938.1,2025-02-12,false,How much can I invest without affecting my essential payments? The amount is EUR 2938.10 for the investment contribution.
request_179,user_179,2025-05-04,debt_repayment,41648000,2025-07-15,false,Can I make this extra loan payment this month? The amount is IDR 41648000 for the extra loan payment.
request_180,user_180,2026-07-06,debt_repayment,66500,2026-09-02,true,Can I make this extra loan payment this month? The amount is INR 66500 for the extra loan payment.
request_181,user_181,2024-03-03,investment,5059.2,2024-04-07,false,How much can I invest without affecting my essential payments? The amount is USD 5059.20 for the investment contribution.
request_182,user_182,2025-08-05,debt_repayment,65714,2025-09-26,false,Can I make this extra loan payment this month? The amount is ZAR 65714 for the extra loan payment.
request_183,user_183,2026-04-07,emergency_expense,26866000,2026-06-18,false,My repair is urgent. How much can I safely pay today? The amount is IDR 26866000 for the urgent repair.
request_184,user_184,2024-06-04,debt_repayment,251900,2024-07-30,false,Can I make this extra loan payment this month? The amount is INR 251900 for the extra loan payment.
request_185,user_185,2025-11-06,travel,1257.3,2026-01-15,true,"Can I book this family trip now, or should I wait? The amount is EUR 1257.30 for the family trip."
request_186,user_186,2026-01-03,investment,26554,2026-03-15,false,How much can I invest without affecting my essential payments? The amount is ZAR 26554 for the investment contribution.
request_187,user_187,2024-09-05,other,187500,2024-11-15,true,Can I commit to this annual membership now? The amount is INR 187500 for the annual membership.
request_188,user_188,2025-02-07,family_transfer,2464,2025-03-04,false,How much of this family transfer can I safely make? The amount is EUR 2464 for the family transfer.
request_189,user_189,2026-07-04,debt_repayment,488.4,2026-08-14,true,Can I make this extra loan payment this month? The amount is EUR 488.40 for the extra loan payment.
request_190,user_190,2024-12-06,purchase,2557.5,2025-02-15,true,Can I buy this laptop without putting next month's bills at risk? The amount is EUR 2557.50 for the laptop.
request_191,user_191,2025-05-03,investment,664.4,2025-07-17,false,How much can I invest without affecting my essential payments? The amount is EUR 664.40 for the investment contribution.
request_192,user_192,2026-04-05,education,2046,2026-05-11,false,Can I pay for this professional course before enrolment closes? The amount is USD 2046 for the professional course.
request_193,user_193,2024-03-07,other,1212.2,2024-05-28,false,Can I commit to this annual membership now? The amount is EUR 1212.20 for the annual membership.
request_194,user_194,2025-08-04,housing,132800,2025-10-23,false,Can I pay this rental deposit by the requested date? The amount is INR 132800 for the rental deposit.
request_195,user_195,2026-01-06,purchase,1170.4,2026-03-11,true,Can I buy this laptop without putting next month's bills at risk? The amount is EUR 1170.40 for the laptop.
request_196,user_196,2024-06-03,purchase,762.3,2024-07-05,false,Can I buy this laptop without putting next month's bills at risk? The amount is EUR 762.30 for the laptop.
request_197,user_197,2025-11-05,family_transfer,50939000,2026-01-21,true,How much of this family transfer can I safely make? The amount is IDR 50939000 for the family transfer.
request_198,user_198,2026-07-07,education,185800,2026-09-21,true,Can I pay for this professional course before enrolment closes? The amount is INR 185800 for the professional course.
request_199,user_199,2024-09-04,housing,23674000,2024-11-10,false,Can I pay this rental deposit by the requested date? The amount is IDR 23674000 for the rental deposit.
request_200,user_200,2025-02-06,purchase,21717000,2025-04-10,false,Can I buy this laptop without putting next month's bills at risk? The amount is IDR 21717000 for the laptop.
request_201,user_201,2026-04-03,debt_repayment,23997000,2026-05-16,true,Can I make this extra loan payment this month? The amount is IDR 23997000 for the extra loan payment.
request_202,user_202,2024-12-05,family_transfer,123900,2025-01-14,false,How much of this family transfer can I safely make? The amount is INR 123900 for the family transfer.
request_203,user_203,2025-05-07,emergency_expense,1442.1,2025-07-08,false,My repair is urgent. How much can I safely pay today? The amount is EUR 1442.10 for the urgent repair.
request_204,user_204,2026-01-04,housing,3729,2026-01-31,true,Can I pay this rental deposit by the requested date? The amount is EUR 3729 for the rental deposit.
request_205,user_205,2024-03-06,debt_repayment,10621000,2024-05-19,true,Can I make this extra loan payment this month? The amount is IDR 10621000 for the extra loan payment.
request_206,user_206,2025-08-03,family_transfer,1404.7,2025-09-29,true,How much of this family transfer can I safely make? The amount is EUR 1404.70 for the family transfer.
request_207,user_207,2026-07-05,family_transfer,52448,2026-07-24,true,How much of this family transfer can I safely make? The amount is ZAR 52448 for the family transfer.
request_208,user_208,2024-06-07,travel,27037000,2024-07-13,true,"Can I book this family trip now, or should I wait? The amount is IDR 27037000 for the family trip."
request_209,user_209,2025-11-04,travel,56914,2025-11-25,false,"Can I book this family trip now, or should I wait? The amount is ZAR 56914 for the family trip."
request_210,user_210,2026-04-06,emergency_expense,7178.4,2026-06-23,true,My repair is urgent. How much can I safely pay today? The amount is USD 7178.40 for the urgent repair.
request_211,user_211,2024-09-03,other,1788.6,2024-11-15,true,Can I commit to this annual membership now? The amount is EUR 1788.60 for the annual membership.
request_212,user_212,2025-02-05,other,71934000,2025-02-28,true,Can I commit to this annual membership now? The amount is IDR 71934000 for the annual membership.
request_213,user_213,2026-01-07,family_transfer,3362.4,2026-03-22,false,How much of this family transfer can I safely make? The amount is USD 3362.40 for the family transfer.
request_214,user_214,2024-12-04,other,431500,2025-01-28,true,Can I commit to this annual membership now? The amount is INR 431500 for the annual membership.
request_215,user_215,2025-05-06,investment,29986,2025-07-10,true,How much can I invest without affecting my essential payments? The amount is ZAR 29986 for the investment contribution.
request_216,user_216,2026-07-03,travel,3332.4,2026-09-15,false,"Can I book this family trip now, or should I wait? The amount is USD 3332.40 for the family trip."
request_217,user_217,2024-03-05,travel,37180,2024-05-21,true,"Can I book this family trip now, or should I wait? The amount is ZAR 37180 for the family trip."
request_218,user_218,2025-08-07,purchase,61142000,2025-10-06,false,Can I buy this laptop without putting next month's bills at risk? The amount is IDR 61142000 for the laptop.
request_219,user_219,2026-04-04,education,1673.1,2026-06-13,true,Can I pay for this professional course before enrolment closes? The amount is EUR 1673.10 for the professional course.
request_220,user_220,2024-06-06,investment,3118.5,2024-07-03,true,How much can I invest without affecting my essential payments? The amount is EUR 3118.50 for the investment contribution.
request_221,user_221,2025-11-03,housing,109800,2026-01-14,false,Can I pay this rental deposit by the requested date? The amount is INR 109800 for the rental deposit.
request_222,user_222,2026-01-05,education,34078,2026-03-10,false,Can I pay for this professional course before enrolment closes? The amount is ZAR 34078 for the professional course.
request_223,user_223,2024-09-07,purchase,898.7,2024-10-20,true,Can I buy this laptop without putting next month's bills at risk? The amount is EUR 898.70 for the laptop.
request_224,user_224,2025-02-04,travel,64923000,2025-02-24,true,"Can I book this family trip now, or should I wait? The amount is IDR 64923000 for the family trip."
request_225,user_225,2026-07-06,emergency_expense,22059000,2026-09-21,true,My repair is urgent. How much can I safely pay today? The amount is IDR 22059000 for the urgent repair.
request_226,user_226,2024-12-03,other,157000,2025-01-15,false,Can I commit to this annual membership now? The amount is INR 157000 for the annual membership.
request_227,user_227,2025-05-05,debt_repayment,259700,2025-06-20,false,Can I make this extra loan payment this month? The amount is INR 259700 for the extra loan payment.
request_228,user_228,2026-04-07,investment,63327000,2026-04-30,true,How much can I invest without affecting my essential payments? The amount is IDR 63327000 for the investment contribution.
request_229,user_229,2024-03-04,travel,1526.8,2024-05-23,false,"Can I book this family trip now, or should I wait? The amount is EUR 1526.80 for the family trip."
